Exact_Date,HomeTeam,AwayTeam,Score,Full time result,Home odds,Draw odds,Away odds
15.09.2007,West Ham,Middlesbrough,3:00,H,1.95,3.29,3.92
15.09.2007,Wigan,Fulham,1:01,D,2.06,3.28,3.53
02.09.2007,Arsenal,Portsmouth,3:01,H,1.5,3.77,7.07
02.09.2007,Aston Villa,Chelsea,2:00,H,4.62,3.24,1.82
02.09.2007,Blackburn,Manchester City,1:00,H,2.06,3.23,3.61
01.09.2007,Bolton,Everton,1:02,A,2.43,3.2,2.88
01.09.2007,Fulham,Tottenham,3:03,D,3.41,3.28,2.13
01.09.2007,Liverpool,Derby,6:00,H,1.16,6.29,17.75
01.09.2007,Manchester United,Sunderland,1:00,H,1.2,5.9,15.02
01.09.2007,Middlesbrough,Birmingham,2:00,H,1.9,3.35,4.05
01.09.2007,Newcastle,Wigan,1:00,H,1.69,3.48,5.26
01.09.2007,Reading,West Ham,0:03,A,2.16,3.27,3.33
26.08.2007,Manchester United,Tottenham,1:00,H,1.47,3.92,6.78
26.08.2007,Middlesbrough,Newcastle,2:02,D,2.62,3.18,2.62
25.08.2007,Arsenal,Manchester City,1:00,H,1.56,3.7,5.89
25.08.2007,Aston Villa,Fulham,2:01,H,1.67,3.43,5.19
25.08.2007,Bolton,Reading,3:00,H,2.22,3.24,3.12
25.08.2007,Chelsea,Portsmouth,1:00,H,1.28,4.89,10.75
25.08.2007,Derby,Birmingham,1:02,A,2.38,3.19,2.9
25.08.2007,Everton,Blackburn,1:01,D,2.08,3.2,3.52
25.08.2007,Sunderland,Liverpool,0:02,A,5.9,3.54,1.59
25.08.2007,West Ham,Wigan,1:01,D,1.9,3.26,4.04
19.08.2007,Blackburn,Arsenal,1:01,D,3.13,3.19,2.22
19.08.2007,Liverpool,Chelsea,1:01,D,2.44,3.06,2.98
19.08.2007,Manchester City,Manchester United,1:00,H,4.2,3.23,1.87
18.08.2007,Birmingham,West Ham,0:01,A,2.37,3.23,2.88
18.08.2007,Fulham,Middlesbrough,1:02,A,2.06,3.25,3.5
18.08.2007,Newcastle,Aston Villa,0:00,D,1.89,3.29,4.06
18.08.2007,Portsmouth,Bolton,3:01,H,1.94,3.25,3.9
18.08.2007,Reading,Everton,1:00,H,2.47,3.21,2.76
18.08.2007,Tottenham,Derby,4:00,H,1.47,3.89,7.2
18.08.2007,Wigan,Sunderland,3:00,H,2.33,3.19,2.94
15.08.2007,Birmingham,Sunderland,2:02,D,2.36,3.2,2.91
15.08.2007,Fulham,Bolton,2:01,H,2.24,3.23,3.12
15.08.2007,Manchester City,Derby,1:00,H,1.59,3.59,5.9
15.08.2007,Portsmouth,Manchester United,1:01,D,5.72,3.56,1.6
15.08.2007,Reading,Chelsea,1:02,A,6.3,3.65,1.55
15.08.2007,Wigan,Middlesbrough,1:00,H,2.34,3.21,2.95
14.08.2007,Tottenham,Everton,1:03,A,1.83,3.29,4.34
12.08.2007,Arsenal,Fulham,2:01,H,1.3,4.71,9.84
12.08.2007,Chelsea,Birmingham,3:02,H,1.19,5.73,14.36
12.08.2007,Manchester United,Reading,0:00,D,1.2,5.68,13.22
11.08.2007,Aston Villa,Liverpool,1:02,A,3.94,3.23,1.93
11.08.2007,Bolton,Newcastle,1:03,A,2.3,3.21,2.99
11.08.2007,Derby,Portsmouth,2:02,D,2.87,3.17,2.38
